FILTER WORDS (85),,,
aboli*,,abolition,Abolish
abus*,,abuse,
abuse*,,abusive,
access*,,Access,
advocat*,,advocate,
afraid*,,afraid,
assault*,,assault,
assimilat*,,Assimilate,
asylum*,,asylum,
contrib*,,Contribute,
crim*,,Criminal,crime
cruel*,,cruel,
cultur*,,Cultural,culture
damage*,,damage,
deadli*,,deadly,
death*,,death,
declarat*,,declaration,
decrim*,,Decriminalize,decriminalizaion
defen*,,defense,
degrad*,,degrading,
depriv*,,deprive,deprivation
deserv*,,Deserve,deserving
destigm*,,Destigmatize,
detain*,,Detain,detention
detent*,,detention,
devian*,,deviant,Deviance
dignit*,,dignity,
discriminat*,,Discriminate,Discrimination
disturb*,,disturbing,
donat*,,donate,donation
environ*,,Environment,Environmental
equal*,,Equal,equality
execut*,,execute,execution
exist*,,exist,
fair*,,fair,
fear*,,fear,
force*,,force,
free*,,free,
fundamental*,,fundamental,
guilt*,,guilt,
harm*,,harm,harmful
hope*,,hope,
human*,,Human ,
illegal*,,Illegal,
immigra*,,Immigrant,immigration
incarcer*,,Incarcerate,
inequal*,,inequality,unequal
innocen*,,Innocent,
integrity*,,integrity,
just*,,justice,
libert*,,liberty,
missing*,,missing,
natur*,,Natural,nature
need*,,need,
norm*,,norm,
petition*,,petition,
pledg*,,pledge,
prostitut*,,prostitute,prostitution
protect*,,protect,
recover*,,recover,
refuge*,,refuge,refugee
relig*,,religion,religious
respect*,,respect,
right*,,Right,
risk*,,risk,
secur*,,security,secure
self-determin*,,self-determination,
sentenc*,,sentence,sentencing
separat*,,separate,separation
sex*,,Sex,
shock*,,shock,
slave*,,Slave,Slavery
solitary*,,solitary,
stigma*,,stigma,stigmatize
target*,,target,
tolerat*,,tolerate,
tortur*,,torture,
traffick*,,Trafficking, 
trauma*,,trauma,traumatize
undeserv*,,undeserving,
unequal*,,unequal,
unfair*,,unfair,
victim*,,victim,
violat*,,violate,violation
vulnerab*,,vulnerable,